organizationId,Ticker,Year,Quarter,PE,PB,EPS,ROE,GrossProfitGrowthYoY
2734,AAA,2023,1,37.44997645,0.84749236,140.98633548,0.022521,-0.37468723
2734,AAA,2023,2,40.76082972,0.57264547,110.58836783,0.01406279,-0.31650099
2734,AAA,2023,3,40.77850856,0.70048191,259.10638902,0.017459,0.03751293
2734,AAA,2023,4,12.91813511,0.69957499,245.30261817,0.05692053,8.02406619
2734,AAA,2024,1,12.09453416,0.81660437,352.38176036,0.06700654,0.34797176
2734,AAA,2024,2,7.36638984,0.61207942,355.47198108,0.0839568,0.52476446
2734,AAA,2024,3,8.27573324,0.63231792,57.02603274,0.07198777,0.08002089
2734,AAA,2024,4,7.22895869,0.49953953,199.29779704,0.06783598,0.46662398
2736,AAM,2023,1,6.9376988,0.52849904,99.88880655,0.077014,-0.60069024
2736,AAM,2023,2,13.37999074,0.52991354,69.97369851,0.038859,-0.93100072
2736,AAM,2023,3,22.62241305,0.49197289,-82.05880162,0.02135265,-1.27477923
2736,AAM,2023,4,135.5538077,0.47037488,-30.83922324,0.00341193,-0.97807553
2736,AAM,2024,1,-32.93673784,0.42729394,-167.82099891,-0.01284257,-1.64269527
2736,AAM,2024,2,-14.66363563,0.37455496,-130.87830715,-0.02524358,-1.14830586
2736,AAM,2024,3,-13.3437693,0.36057713,-103.10531644,-0.02671392,2.88457449
2736,AAM,2024,4,-10.72395606,0.34386576,-108.11552612,-0.03155922,28.66055736
7603,AAT,2023,1,4.66110483,0.58433549,22.96587414,0.123658,0.51325134
7603,AAT,2023,2,106.00286745,0.47644688,-2.37792391,0.004474,-0.91961668
7603,AAT,2023,3,117.55526521,0.53492089,9.24316285,0.004543,-0.01996098
7603,AAT,2023,4,18.80234407,0.43042808,137.6125224,0.02315732,0.42835094
7603,AAT,2024,1,18.3541975,0.37395462,55.96803624,0.02069223,0.21293097
7603,AAT,2024,2,14.46299732,0.34213847,19.55334511,0.02290668,0.29460979
7603,AAT,2024,3,15.48795212,0.33803527,33.65073294,0.02539646,0.29739425
7603,AAT,2024,4,-24.86231989,0.29595661,-243.18383252,-0.01205662,-0.55413471
5643,ABR,2023,1,7.63980696,0.83957787,451.977525,0.115272,0.26756668
5643,ABR,2023,2,7.12712449,0.9691574,767.589052,0.14461124,-0.27943743
5643,ABR,2023,3,6.82545528,0.84998274,287.66381825,0.13046057,-0.6004625
5643,ABR,2023,4,8.06909594,0.7907931,0.55610445,0.10044083,-0.673367
5643,ABR,2024,1,10.54656925,0.85071288,238.45076765,0.08210571,-0.59124115
5643,ABR,2024,2,19.62125931,1.09645689,273.48182565,0.05171046,-0.49672853
5643,ABR,2024,3,20.23413268,0.93273598,154.7007596,0.04403648,-0.00878192
5643,ABR,2024,4,16.4151175,1.09505252,320.26180615,0.06450142,0.10853678
7604,ABS,2023,1,18.11638082,0.65987532,122.00083729,0.035785,-0.92619167
7604,ABS,2023,2,11.38353285,0.47605953,173.24083453,0.04155923,0.19482541
7604,ABS,2023,3,13.82879205,0.51414256,14.82105575,0.037095,-0.7166882
7604,ABS,2023,4,49.1371455,0.44553215,-51.98532345,0.02254077,-0.91391222
7604,ABS,2024,1,27.93675427,0.43687552,43.25707913,0.01549561,0.18836019
7604,ABS,2024,2,81.94229409,0.34491287,42.35591758,0.0041959,-0.94461775
7604,ABS,2024,3,123.39291923,0.3951917,3.24640371,0.00320163,-0.42584869
7604,ABS,2024,4,111.02953255,0.2950681,-56.86688615,0.00279642,-0.53402291
2740,ABT,2023,1,5.52980137,0.79713038,639.26228704,0.14293,-0.22868132
2740,ABT,2023,2,6.60897661,0.87627478,1213.46206971,0.13394412,-0.40333158
2740,ABT,2023,3,6.43345156,0.86149513,970.22343941,0.136359,-0.29151033
2740,ABT,2023,4,6.08485646,0.79183804,858.00413312,0.1328291,-0.2274691
2740,ABT,2024,1,6.77884805,0.93295204,776.47534369,0.13731188,-0.00396732
2740,ABT,2024,2,6.57524455,0.92518774,2344.01709435,0.14576875,0.33299726
2740,ABT,2024,3,6.29804385,0.9094042,1285.51703538,0.15148764,0.48339894
2740,ABT,2024,4,4.92610122,0.88864061,2648.09720323,0.19268564,1.550287
